"Group","Metrics","Value"
"Velocity","Velocity(Story Point)","1.0"
"Velocity","Throughput(Cards Count)","1"
"Cycle time","Average cycle time(days/storyPoint)","0.98"
"Cycle time","Average cycle time(days/card)","0.98"
"Cycle time","Total waiting for testing time / Total cycle time","85.71"
"Cycle time","Total development time / Total cycle time","14.29"
"Cycle time","Total review time / Total cycle time","0"
"Cycle time","Total testing time / Total cycle time","0"
"Cycle time","Average waiting for testing time(days/storyPoint)","0.84"
"Cycle time","Average waiting for testing time(days/card)","0.84"
"Cycle time","Average development time(days/storyPoint)","0.14"
"Cycle time","Average development time(days/card)","0.14"
"Cycle time","Average review time(days/storyPoint)","0"
"Cycle time","Average review time(days/card)","0"
"Cycle time","Average testing time(days/storyPoint)","0"
"Cycle time","Average testing time(days/card)","0"
"Classifications","Issue Type / Bug","100.00"
"Classifications","Parent / ADM-319","100.00"
"Classifications","Story testing-2 / None","100.00"
"Classifications","Story testing-1 / None","100.00"
"Classifications","Design / None","100.00"
"Classifications","Vulnerability / None","100.00"
"Classifications","Sprint / Sprint37","100.00"
"Classifications","Project / Auto Dora Metrics","100.00"
"Classifications","Flagged / None","100.00"
"Classifications","Fix versions / None","100.00"
"Classifications","Priority / Medium","100.00"
"Classifications","Partner / None","100.00"
"Classifications","Labels / None","100.00"
"Classifications","Time tracking / None","100.00"
"Classifications","Story point estimate / 1.0","100.00"
"Classifications","QA / None","100.00"
"Classifications","Feature/Operation / None","100.00"
"Classifications","Assignee / YinYuan Zhou","100.00"
"Rework","Total rework times","0"
"Rework","Total rework cards","0"
"Rework","Rework cards ratio(Total rework cards/Throughput)","0.0000"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployments/Day)","1.00"
"Deployment frequency","Heartbeat / Deploy prod / Deployment frequency(Deployment times)","5"
"Lead time for changes","Heartbeat / Deploy prod / PR Lead Time","45.48"
"Lead time for changes","Heartbeat / Deploy prod / Pipeline Lead Time","0.83"
"Lead time for changes","Heartbeat / Deploy prod / Total Lead Time","46.31"
"Dev change failure rate","Heartbeat / Deploy prod / Dev change failure rate","0.1667"
"Dev mean time to recovery","Heartbeat / Deploy prod / Dev mean time to recovery","0.78"
